This file was created by using the 202510 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  PRIOR_RET is from -12 to - 2.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
202104,    811,    746,    794,    288,    408,    241
202105,    791,    830,    734,    288,    417,    220
202106,    863,    811,    680,    288,    423,    212
202107,    969,    763,    640,    322,    413,    211
202108,    885,    765,    723,    322,    421,    214
202109,    950,    700,    750,    304,    423,    221
202110,    955,    722,    731,    319,    412,    219
202111,    956,    772,    702,    293,    431,    230
202112,   1066,    698,    665,    281,    402,    280
202201,   1164,    689,    595,    251,    429,    290
202202,   1419,    580,    476,    247,    425,    297
202203,   1487,    581,    446,    237,    438,    294
202204,   1447,    676,    472,    213,    438,    304
202205,   1398,    775,    484,    203,    444,    299
202206,   1461,    799,    435,    185,    448,    312
202207,   1566,    782,    407,    219,    451,    310
202208,   1502,    713,    600,    225,    437,    312
202209,   1543,    794,    502,    222,    434,    314
202210,   1522,    868,    472,    226,    427,    327
202211,   1505,    710,    685,    219,    412,    341
202212,   1491,    930,    532,    228,    411,    325
202301,   1509,    882,    536,    210,    426,    320
202302,   1500,    867,    572,    213,    421,    321
202303,   1518,    869,    566,    207,    438,    299
202304,   1511,    804,    618,    213,    439,    289
202305,   1495,    852,    588,    184,    427,    339
202306,   1481,    808,    628,    171,    441,    337
202307,   1536,    767,    625,    173,    426,    348
202308,   1540,    764,    596,    186,    435,    328
202309,   1620,    739,    535,    205,    426,    315
202310,   1650,    730,    510,    210,    421,    309
202311,   1601,    719,    546,    186,    442,    311
202312,   1535,    694,    608,    192,    431,    321
202401,   1529,    723,    556,    180,    445,    321
202402,   1494,    766,    550,    180,    431,    329
202403,   1527,    735,    534,    144,    428,    365
202404,   1419,    766,    602,    184,    401,    337
202405,   1428,    775,    572,    195,    402,    318
202406,   1497,    740,    515,    195,    429,    293
202407,   1462,    706,    566,    216,    408,    303
202408,   1429,    777,    521,    162,    400,    354
202409,   1395,    671,    636,    205,    425,    290
202410,   1407,    656,    635,    191,    418,    303
202411,   1417,    655,    612,    187,    409,    316
202412,   1354,    687,    628,    187,    418,    304
202501,   1368,    707,    566,    188,    401,    318
202502,   1284,    685,    657,    214,    391,    300
202503,   1322,    640,    649,    224,    370,    311
202504,   1292,    648,    662,    189,    386,    325
202505,   1309,    612,    637,    186,    392,    326
202506,   1258,    632,    652,    153,    395,    353
202507,   1221,    698,    620,    173,    389,    334
202508,   1238,    683,    594,    156,    369,    367
202509,   1143,    739,    618,    160,    390,    338
202510,   1108,    693,    680,    181,    392,    320


  Average Firm Size
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
192701,      4.32,      7.56,      6.89,     48.98,    105.24,    134.10
192702,      4.61,      7.83,      7.62,     46.78,     89.30,    147.48
192703,      5.15,      7.33,      9.47,     50.23,    133.87,    113.74
192704,      4.84,      7.24,      7.89,     65.87,    134.23,    107.60
192705,      4.69,      7.52,      8.26,     64.01,    124.50,    112.48
